process,model,seed,horizon,z_mean,z_var,psi,psi_theory,n_eff_pert,n_eff_pert_med,n_eff_pool,n_eff_ema,n_eff_hybrid,n_eff_b,n_eff_emp,R_frobenius
WN,ORACLE,0,1,0.05428882865491978,0.921552583851499,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,2,0.048176997171842956,0.8664047150922247,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,3,-0.07191495920299715,0.9120292472507026,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,4,0.00478771222297102,0.965753825231593,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,5,0.12874939269775243,0.9224304073070221,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,6,0.11313273021365833,0.9601938104716116,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,7,0.05488126347467432,0.9664822351753444,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,8,0.06517113129397822,0.9927689798700688,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,9,-0.06161148895611787,0.9468915058847612,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,10,0.019778914095126793,0.9332054327232132,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,11,-0.08630005325731832,0.9649339921723296,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,12,-0.07734410626907275,0.9717337316249255,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,13,-0.02284405933362629,0.9884071732290852,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,14,0.0019812532920272003,0.9605617089066167,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,15,-0.015060562754813057,0.9541331391949363,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,16,0.03025360363689156,0.9541227162902562,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,17,0.027075174127625643,0.8851576757256437,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,18,-0.06990586845105552,0.96147983070505,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,19,0.05665656337470765,0.9675701759892013,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,20,-0.023570327066201085,1.0110675897947932,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,21,-0.008264759683517404,1.1007235818683865,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,22,-0.03737058393181396,0.9498287179098643,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,23,-0.022493414734907638,0.8776877991578705,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,24,-0.027334001534911466,1.0075040297719848,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,25,0.013127713021108456,0.9028288939024982,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,26,-0.031391432878159264,0.9644638693794199,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,27,0.07115277067142856,0.8576371381795824,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,28,0.02380817321005855,0.9220774109450106,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,29,-0.02141103975848738,1.0258729789714311,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,30,-0.052995215407988155,1.0701674004382213,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,31,-0.037801928549453544,0.9716037558735701,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
WN,ORACLE,0,32,-0.04137581009161072,0.938424420803789,0.0,0.0,32.0,32.0,32.0,32.0,33.00242588061392,32.0,35.48183558974748,1.2336402947467098
RW,ORACLE,0,1,0.054647284975027084,1.000872471003483,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,2,-0.013779139979736949,1.0778141282151459,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,3,-0.046020505895038116,1.0207355624392616,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
