process,model,case,seed,score,auroc,auprc,tpr_at_fpr5,n0_mean,case_mean
AR1,MLPQR,A0,0,S_max,0.008783333333333334,0.30791312575835067,0.0,2.4470991862354383,1.1314780255239385
AR1,MLPQR,A0,0,S_band,0.06490555555555556,0.3889866379920227,0.006666666666666667,0.36864583333333334,0.06791666666666667
AR1,MLPQR,A0,0,S_mean,0.40344444444444444,0.4301564375868243,0.023333333333333334,2.681864256410283,2.041609059325562
AR1,MLPQR,A0,0,S_gls_pert,0.40898888888888885,0.43934332887917515,0.03,1.7173043783478723,1.2475972412586138
AR1,MLPQR,A0,0,S_gls_pool,0.39805555555555555,0.4261948718744579,0.03,1.0158852890885297,0.7626102468092434
AR1,MLPQR,A0,0,S_gls_emp,0.3983111111111111,0.42089762301240435,0.02,1.0408248506042885,0.7588989952206341
AR1,MLPQR,A0,0,S_chi2,0.5083111111111112,0.46001027047281606,0.0033333333333333335,2.891247349618762,2.4583390641710605
AR1,MLPQR,A0,0,S_maha,0.02058888888888889,0.3099723962543641,0.006666666666666667,58.84762160154705,8.430432366232395
AR1,MLPQR,A1,0,S_max,0.0851777777777778,0.32654913641336714,0.0,2.4470991862354383,1.6807257634939399
AR1,MLPQR,A1,0,S_band,0.39805555555555555,0.5413339844029029,0.13333333333333333,0.36864583333333334,0.3097916666666667
AR1,MLPQR,A1,0,S_mean,0.7915111111111113,0.7945512797066663,0.3,2.681864256410283,5.278416371306654
AR1,MLPQR,A1,0,S_gls_pert,0.7294222222222223,0.7056180121409079,0.18333333333333332,1.7173043783478723,3.605796378631289
AR1,MLPQR,A1,0,S_gls_pool,0.8156444444444446,0.815275156284023,0.3333333333333333,1.0158852890885297,2.099149003473871
AR1,MLPQR,A1,0,S_gls_emp,0.8031444444444444,0.7992696384432938,0.30333333333333334,1.0408248506042885,2.0942432907282122
AR1,MLPQR,A1,0,S_chi2,0.49062222222222224,0.5100357240834025,0.06333333333333334,2.891247349618762,2.88913365960183
AR1,MLPQR,A1,0,S_maha,0.12605555555555553,0.36599565062345774,0.05333333333333334,58.84762160154705,32.27119437616861
AR1,MLPQR,A2,0,S_max,0.4228444444444444,0.48135672229282855,0.0,2.4470991862354383,2.4805198825509565
AR1,MLPQR,A2,0,S_band,0.5786611111111112,0.5841886022111653,0.11333333333333333,0.36864583333333334,0.4144791666666667
AR1,MLPQR,A2,0,S_mean,0.6313666666666666,0.6603381460414952,0.16666666666666666,2.681864256410283,3.908779924495027
AR1,MLPQR,A2,0,S_gls_pert,0.6047333333333333,0.6178665965265728,0.13333333333333333,1.7173043783478723,2.8193610414472414
AR1,MLPQR,A2,0,S_gls_pool,0.6420444444444444,0.6779101076118053,0.20333333333333334,1.0158852890885297,1.5473300379793804
AR1,MLPQR,A2,0,S_gls_emp,0.6474,0.6778143727190138,0.20666666666666667,1.0408248506042885,1.5956734713838248
AR1,MLPQR,A2,0,S_chi2,0.6072666666666666,0.6226531379366594,0.14666666666666667,2.891247349618762,4.073403631620631
AR1,MLPQR,A2,0,S_maha,0.5550111111111111,0.5625141049279221,0.08,58.84762160154705,70.57233368494794
AR1,MLPQR,A3,0,S_max,0.5475888888888889,0.5262632292679297,0.0,2.4470991862354383,2.548376317069724
AR1,MLPQR,A3,0,S_band,0.5385944444444445,0.5265443974784482,0.05333333333333334,0.36864583333333334,0.3885416666666667
AR1,MLPQR,A3,0,S_mean,0.49533888888888894,0.49894198426770914,0.043333333333333335,2.681864256410283,2.6478964691964144
AR1,MLPQR,A3,0,S_gls_pert,0.4978277777777778,0.507457148432434,0.06,1.7173043783478723,1.7539533490677925
AR1,MLPQR,A3,0,S_gls_pool,0.4944166666666666,0.5008861207943396,0.04666666666666667,1.0158852890885297,1.004594244940756
AR1,MLPQR,A3,0,S_gls_emp,0.5045722222222222,0.5027894185659605,0.04666666666666667,1.0408248506042885,1.0459974445003073
AR1,MLPQR,A3,0,S_chi2,0.5577055555555556,0.5462098579760165,0.06666666666666667,2.891247349618762,3.326744774712171
AR1,MLPQR,A3,0,S_maha,0.6517388888888888,0.6211014699949714,0.11,58.84762160154705,73.8540955156276
AR1,MLPQR,A4,0,S_max,0.7197777777777777,0.644218952314292,0.0,2.4470991862354383,2.5713039804304496
AR1,MLPQR,A4,0,S_band,0.8199444444444444,0.7943577090739143,0.2966666666666667,0.36864583333333334,0.5578125
AR1,MLPQR,A4,0,S_mean,0.5643222222222222,0.59947488595886,0.13,2.681864256410283,3.3545698817653733
AR1,MLPQR,A4,0,S_gls_pert,0.5529777777777778,0.5518004409357324,0.07333333333333333,1.7173043783478723,2.1521099070377834
AR1,MLPQR,A4,0,S_gls_pool,0.5720222222222223,0.6077244628599056,0.14666666666666667,1.0158852890885297,1.296196750051137
AR1,MLPQR,A4,0,S_gls_emp,0.5612444444444444,0.5915433247004767,0.13,1.0408248506042885,1.2867935127745953
AR1,MLPQR,A4,0,S_chi2,0.8629333333333333,0.8604346138398123,0.4266666666666667,2.891247349618762,7.3555788301077305
AR1,MLPQR,A4,0,S_maha,0.8392111111111111,0.8008562053297155,0.27666666666666667,58.84762160154705,105.85948375717794
AR1,MLPQR,A0,1,S_max,0.013283333333333328,0.30836713401004195,0.0,2.433140464380568,1.1448373550273372
AR1,MLPQR,A0,1,S_band,0.06994999999999998,0.39624183111997374,0.01,0.38427083333333334,0.0725
AR1,MLPQR,A0,1,S_mean,0.3955333333333333,0.4248693873889988,0.02,2.991153698453427,2.214058855011273
AR1,MLPQR,A0,1,S_gls_pert,0.39255555555555555,0.4246287747165876,0.016666666666666666,2.1598763696362737,1.3942160960318464
AR1,MLPQR,A0,1,S_gls_pool,0.38858888888888893,0.4196066375626677,0.013333333333333334,1.1405567757305686,0.8253419428457202
AR1,MLPQR,A0,1,S_gls_emp,0.3891555555555556,0.41846492244818956,0.013333333333333334,1.113405282955438,0.7996975097146752
AR1,MLPQR,A0,1,S_chi2,0.4615222222222223,0.43970322852118254,0.0033333333333333335,3.223998893018345,2.4661083413798064
AR1,MLPQR,A0,1,S_maha,0.023055555555555555,0.30905024128309433,0.0,61.79112415064142,9.003632766381028
AR1,MLPQR,A1,1,S_max,0.09971111111111111,0.33007999808898075,0.0,2.433140464380568,1.6648130089657347
AR1,MLPQR,A1,1,S_band,0.3896,0.5500528527063173,0.16,0.38427083333333334,0.3182291666666667
AR1,MLPQR,A1,1,S_mean,0.7557444444444443,0.7564778890022729,0.2866666666666667,2.991153698453427,5.388514907823052
AR1,MLPQR,A1,1,S_gls_pert,0.6902222222222223,0.6617847019248762,0.11666666666666667,2.1598763696362737,3.8661142474045027
AR1,MLPQR,A1,1,S_gls_pool,0.7737444444444445,0.7707079602075508,0.31,1.1405567757305686,2.140612563978432
AR1,MLPQR,A1,1,S_gls_emp,0.7717666666666667,0.7667896493991018,0.30666666666666664,1.113405282955438,2.078819825673639
AR1,MLPQR,A1,1,S_chi2,0.4768555555555555,0.501489750264172,0.07333333333333333,3.223998893018345,3.170962125400811
AR1,MLPQR,A1,1,S_maha,0.1425111111111111,0.38377491016750553,0.07666666666666666,61.79112415064142,35.57127917837485
AR1,MLPQR,A2,1,S_max,0.418788888888889,0.4772529861978416,0.0,2.433140464380568,2.4611390162182936
AR1,MLPQR,A2,1,S_band,0.5736111111111112,0.5955560905167493,0.08666666666666667,0.38427083333333334,0.4323958333333333
AR1,MLPQR,A2,1,S_mean,0.6252444444444445,0.6563465831822826,0.22,2.991153698453427,4.268905241847208
AR1,MLPQR,A2,1,S_gls_pert,0.587288888888889,0.5892359645186713,0.07333333333333333,2.1598763696362737,3.1176618205700173
AR1,MLPQR,A2,1,S_gls_pool,0.6433666666666666,0.6692996338471535,0.21,1.1405567757305686,1.699932341896735
