process,model,case,score,rate,rate_sd
AR1,MLPQR,A0,S_gls_emp,0.044444444444444446,0.01953155092360772
AR1,MLPQR,A0,S_gls_pert,0.1711111111111111,0.022194427061597966
AR1,MLPQR,A0,S_gls_pool,0.04666666666666667,0.020816659994661334
AR1,MLPQR,A0,S_mean,0.4488888888888889,0.0189541356769244
AR1,MLPQR,A1,S_gls_emp,0.5322222222222223,0.013471506281091254
AR1,MLPQR,A1,S_gls_pert,0.6055555555555556,0.020092379244472353
AR1,MLPQR,A1,S_gls_pool,0.54,0.012018504251546623
AR1,MLPQR,A1,S_mean,0.8955555555555555,0.0107151675122144
AR1,MLPQR,A2,S_gls_emp,0.3566666666666667,0.014529663145135588
AR1,MLPQR,A2,S_gls_pert,0.4611111111111111,0.023648662948658628
AR1,MLPQR,A2,S_gls_pool,0.35000000000000003,0.027284509239574848
AR1,MLPQR,A2,S_mean,0.7266666666666666,0.026034165586355556
AR1,MLPQR,A3,S_gls_emp,0.1411111111111111,0.02219442706159797
AR1,MLPQR,A3,S_gls_pert,0.2988888888888889,0.028349668493717946
AR1,MLPQR,A3,S_gls_pool,0.1388888888888889,0.02987628813277501
AR1,MLPQR,A3,S_mean,0.5755555555555556,0.013471506281091226
AR1,MLPQR,A4,S_gls_emp,0.22777777777777777,0.006938886664887114
AR1,MLPQR,A4,S_gls_pert,0.37666666666666665,0.046666666666666676
AR1,MLPQR,A4,S_gls_pool,0.2222222222222222,0.0019245008972987449
AR1,MLPQR,A4,S_mean,0.6277777777777778,0.010183501544346359
AR1,MLPQR,N0,S_gls_emp,0.14333333333333334,0.02728450923957484
AR1,MLPQR,N0,S_gls_pert,0.30888888888888894,0.03564225540521207
AR1,MLPQR,N0,S_gls_pool,0.1311111111111111,0.037168285963728294
AR1,MLPQR,N0,S_mean,0.5966666666666667,0.020000000000000018
AR1,MLPQR_CAL,A0,S_gls_emp,0.012222222222222223,0.00769800358919501
AR1,MLPQR_CAL,A0,S_gls_pert,0.11555555555555556,0.027755546659548436
AR1,MLPQR_CAL,A0,S_gls_pool,0.014444444444444446,0.009622504486493762
AR1,MLPQR_CAL,A0,S_mean,0.32666666666666666,0.006666666666666654
AR1,MLPQR_CAL,A1,S_gls_emp,0.28777777777777774,0.005091750772173139
AR1,MLPQR_CAL,A1,S_gls_pert,0.4377777777777778,0.013471506281091287
AR1,MLPQR_CAL,A1,S_gls_pool,0.2888888888888889,0.015752718754175356
AR1,MLPQR_CAL,A1,S_mean,0.8166666666666668,0.017638342073763958
AR1,MLPQR_CAL,A2,S_gls_emp,0.18444444444444444,0.017105338131489612
AR1,MLPQR_CAL,A2,S_gls_pert,0.3433333333333333,0.015275252316519461
AR1,MLPQR_CAL,A2,S_gls_pool,0.17666666666666667,0.021858128414340004
AR1,MLPQR_CAL,A2,S_mean,0.6211111111111111,0.030971910810591908
AR1,MLPQR_CAL,A3,S_gls_emp,0.04666666666666667,0.011547005383792512
